DAUID,Province or territory,CISR Dimension 1 Scores,CISR Dimension 2 Scores,CISR Dimension 3 Scores,CISR Scores,CISR Quintiles,CISR Most Resilient Dimension
10010297,Newfoundland & Labrador,1.69207,-0.30475,-0.0099,0.45914,4,Dimension 1
10010298,Newfoundland & Labrador,1.23424,-0.531,-1.01197,-0.10291,3,Dimension 1
10010299,Newfoundland & Labrador,0.65745,-1.42308,-1.01549,-0.59371,1,Dimension 1
10010300,Newfoundland & Labrador,0.143,-2.27655,-0.4101,-0.84788,1,Dimension 1
10010301,Newfoundland & Labrador,-0.5527,-2.16768,-0.92582,-1.2154,1,Dimension 1
10010302,Newfoundland & Labrador,0.36323,-1.67688,-0.56411,-0.62592,1,Dimension 1
10010303,Newfoundland & Labrador,0.44486,-1.44516,-1.43826,-0.81285,1,Dimension 1
10010304,Newfoundland & Labrador,0.24898,-1.22736,0.00868,-0.32323,2,Dimension 1
10010305,Newfoundland & Labrador,0.0968,-1.17624,-1.00729,-0.69557,1,Dimension 1
10010306,Newfoundland & Labrador,0.21869,-1.51406,-0.67564,-0.657,1,Dimension 1
10010307,Newfoundland & Labrador,0.28288,-0.81893,-1.58154,-0.70586,1,Dimension 1
10010308,Newfoundland & Labrador,0.22765,-1.85849,-0.78019,-0.80368,1,Dimension 1
10010309,Newfoundland & Labrador,1.08585,0.05114,-0.06862,0.35612,4,Dimension 1
10010310,Newfoundland & Labrador,2.2629,1.35358,0.31745,1.31131,5,Dimension 1
10010337,Newfoundland & Labrador,-0.41253,-1.77393,-0.48104,-0.88917,1,Dimension 1
10010338,Newfoundland & Labrador,0.60167,-1.18551,-0.40059,-0.32815,2,Dimension 1
10010339,Newfoundland & Labrador,1.0434,0.884,-0.80519,0.37407,4,Dimension 1
10010340,Newfoundland & Labrador,1.02382,0.17978,-1.15309,0.01684,3,Dimension 1
10010341,Newfoundland & Labrador,0.62301,0.87152,-1.46282,0.01057,3,Dimension 2
10010342,Newfoundland & Labrador,0.44279,0.08686,-0.5138,0.00529,3,Dimension 1
10010343,Newfoundland & Labrador,0.77594,0.82038,0.1304,0.57557,5,Dimension 2
10010344,Newfoundland & Labrador,0.31141,-1.10768,0.25683,-0.17982,2,Dimension 1
