DAUID,CISV Dimension 1 Scores,CISV Dimension 2 Scores,CISV Dimension 3 Scores,CISV Dimension 4 Scores,CISV Scores,CISV Quintiles,CISV Most Vulnerable Dimension
10010284,-0.55735,0.91055,-1.00747,0.44533,-0.05224,3,Dimension 2
10010285,-1.13669,0.83599,-0.83016,0.61531,-0.12889,3,Dimension 2
10010286,0.17015,2.9666,-0.41581,0.63889,0.83996,5,Dimension 2
10010290,-0.4321,0.24727,0.17587,2.12064,0.52792,5,Dimension 4
10010294,0.06556,-1.23952,0.00463,2.08908,0.22994,4,Dimension 4
10010295,-0.04129,-0.7061,-0.12836,1.78088,0.22628,4,Dimension 4
10010296,-0.08035,0.73335,0.71846,2.80725,1.04468,5,Dimension 4
10010297,-0.64909,0.04371,-0.96134,0.23493,-0.33295,2,Dimension 4
10010298,-0.40714,-0.1648,-0.29,1.80478,0.23571,4,Dimension 4
10010299,-0.26189,-0.06677,0.60104,1.61551,0.47197,5,Dimension 4
10010300,0.66664,0.66389,0.96345,2.09143,1.09635,5,Dimension 4
10010301,-0.34186,0.06766,1.5291,2.99673,1.06291,5,Dimension 4
10010302,-0.00717,-0.54719,0.44634,2.24483,0.5342,5,Dimension 4
10010303,0.09564,0.81989,0.91027,2.23244,1.01456,5,Dimension 4
10010304,-0.12732,-0.39842,0.46869,1.22811,0.29277,4,Dimension 4
10010305,-0.2531,0.77945,-0.12657,1.9472,0.58675,5,Dimension 4
10010306,-0.5253,0.16562,0.21114,1.71739,0.39221,4,Dimension 4
10010307,-0.67434,0.76692,0.13733,2.10493,0.58371,5,Dimension 4
10010308,0.12927,0.62599,0.90946,2.54573,1.05261,5,Dimension 4
10010309,-0.62712,0.06311,-0.50805,0.13518,-0.23422,2,Dimension 4
10010310,-0.64807,-0.3073,-1.08059,-1.4237,-0.86491,1,Dimension 2
10010337,0.56039,0.18841,0.67588,1.61189,0.75914,5,Dimension 4
10010338,0.09114,-0.51479,0.5048,1.09994,0.29528,4,Dimension 4
10010339,-0.47916,-0.07609,-0.60746,-0.22966,-0.34809,2,Dimension 2
10010340,-0.17128,0.24634,-0.31731,0.16558,-0.01916,3,Dimension 2
10010341,-0.79662,0.60821,-0.3048,-0.32891,-0.20553,2,Dimension 2
10010342,-0.55546,0.50965,-0.35738,0.22754,-0.04391,3,Dimension 2
10010343,-0.41882,-0.24237,-0.2704,-0.62709,-0.38967,2,Dimension 2
10010344,0.2286,-0.4857,-0.00862,0.8411,0.14385,4,Dimension 4
10010345,-0.34329,-0.73345,-0.06476,-0.35971,-0.3753,2,Dimension 3
10010346,-0.53242,-0.44239,-0.53025,-0.48559,-0.49766,1,Dimension 2
10010348,-0.64382,-0.81688,-0.20145,0.52916,-0.28325,2,Dimension 4
10010356,0.07748,4.70994,-0.80376,0.62058,1.15106,5,Dimension 2
10010357,-0.84307,0.50504,-0.7419,-0.67834,-0.43957,2,Dimension 2
10010457,-0.36329,0.75175,0.04755,0.34577,0.19544,4,Dimension 2
