CSDUID,CSD_name,outcome,n_DA,model_type,test_type,r2,aic,coef_json
1310032,,canopy_proportion_road,102,SAC,SAC,0.4476,249.52,"{""rho"":0.4669,""lambda"":0.2216,""(Intercept)"":0.0914,""Ethno.cultural.Composition"":-0.2275,""Economic.Dependency"":0.0349,""CISV.Scores"":-0.1891,""total_area_km2_road"":-0.3114}"
2423027,,canopy_proportion_da,892,SAC,SAC (all significant),0.5216,1976.58,"{""rho"":0.6664,""lambda"":-0.1595,""(Intercept)"":-0.0389,""Ethno.cultural.Composition"":-0.0005,""Economic.Dependency"":0.0541,""CISV.Scores"":-0.053,""total_area_km2_da"":0.3024}"
2423027,,canopy_proportion_road,892,SLM,SLM,0.4595,2106.04,"{""rho"":0.7403,""(Intercept)"":0.0268,""Ethno.cultural.Composition"":0.0128,""Economic.Dependency"":0.0579,""CISV.Scores"":-0.0884,""total_area_km2_road"":-0.0678}"
2423057,,canopy_proportion_da,31,OLS,OLS,0.2158,91.42,"{""(Intercept)"":-4.397e-17,""Ethno.cultural.Composition"":-0.1133,""Economic.Dependency"":0.5123,""CISV.Scores"":-0.3502,""total_area_km2_da"":0.2287}"
2423057,,canopy_proportion_road,31,OLS,OLS,0.2869,88.47,"{""(Intercept)"":-8.4477e-18,""Ethno.cultural.Composition"":0.4594,""Economic.Dependency"":0.3864,""CISV.Scores"":-0.1564,""total_area_km2_road"":-0.0437}"
2437067,,canopy_proportion_da,237,SAC,SAC (all significant),0.686,472.64,"{""rho"":0.7512,""lambda"":-0.8855,""(Intercept)"":-0.0346,""Ethno.cultural.Composition"":-0.0094,""Economic.Dependency"":-0.043,""CISV.Scores"":-0.0359,""total_area_km2_da"":0.296}"
2437067,,canopy_proportion_road,237,SAC,SAC,0.2778,621.62,"{""rho"":0.4882,""lambda"":-0.0406,""(Intercept)"":-0.0296,""Ethno.cultural.Composition"":-0.0068,""Economic.Dependency"":0.025,""CISV.Scores"":-0.0753,""total_area_km2_road"":0.2177}"
2439062,,canopy_proportion_da,81,SAC,SAC,0.1891,235.9,"{""rho"":0.5903,""lambda"":-0.3767,""(Intercept)"":0.0018,""Ethno.cultural.Composition"":-0.0615,""Economic.Dependency"":-0.1151,""CISV.Scores"":0.0161,""total_area_km2_da"":0.0614}"
2439062,,canopy_proportion_road,81,SAC,SAC,0.2017,229.92,"{""rho"":0.2532,""lambda"":0.384,""(Intercept)"":0.0371,""Ethno.cultural.Composition"":-0.0196,""Economic.Dependency"":0.1708,""CISV.Scores"":-0.0418,""total_area_km2_road"":0.0182}"
2443027,,canopy_proportion_da,253,SLM,SLM,0.5017,569.28,"{""rho"":0.5369,""(Intercept)"":-0.0367,""Ethno.cultural.Composition"":-0.0044,""Economic.Dependency"":-0.0926,""CISV.Scores"":-0.1142,""total_area_km2_da"":0.2733}"
2443027,,canopy_proportion_road,253,SAC,SAC,0.4796,604.72,"{""rho"":-0.0375,""lambda"":0.7819,""(Intercept)"":0.1224,""Ethno.cultural.Composition"":0.0384,""Economic.Dependency"":0.2226,""CISV.Scores"":-0.2728,""total_area_km2_road"":-0.02}"
2447017,,canopy_proportion_da,116,SLM,SLM,0.6493,236.49,"{""rho"":0.7492,""(Intercept)"":-0.0053,""Ethno.cultural.Composition"":0.01,""Economic.Dependency"":-0.0105,""CISV.Scores"":-0.1082,""total_area_km2_da"":0.1497}"
2447017,,canopy_proportion_road,116,SLM,SLM,0.5227,268.23,"{""rho"":0.6693,""(Intercept)"":0.0098,""Ethno.cultural.Composition"":-0.101,""Economic.Dependency"":-0.1276,""CISV.Scores"":0.0109,""total_area_km2_road"":0.145}"
2453052,,canopy_proportion_da,55,OLS,OLS,0.5361,124.83,"{""(Intercept)"":-1.4837e-16,""Ethno.cultural.Composition"":0.1943,""Economic.Dependency"":-0.075,""CISV.Scores"":-0.6169,""total_area_km2_da"":0.4064}"
2453052,,canopy_proportion_road,55,SLM,SLM,0.5617,127.48,"{""rho"":0.5546,""(Intercept)"":0.0502,""Ethno.cultural.Composition"":-0.0807,""Economic.Dependency"":-0.272,""CISV.Scores"":-0.1705,""total_area_km2_road"":-0.2498}"
2456083,,canopy_proportion_da,173,SAC,SAC,0.3437,461.37,"{""rho"":-0.3558,""lambda"":0.7483,""(Intercept)"":0.0139,""Ethno.cultural.Composition"":-0.0059,""Economic.Dependency"":0.084,""CISV.Scores"":-0.1443,""total_area_km2_da"":-0.2398}"
2456083,,canopy_proportion_road,173,SAC,SAC,0.3195,450.84,"{""rho"":0.2457,""lambda"":0.5059,""(Intercept)"":0.0642,""Ethno.cultural.Composition"":-0.0706,""Economic.Dependency"":0.116,""CISV.Scores"":-0.0582,""total_area_km2_road"":-0.1375}"
2457005,,canopy_proportion_da,37,OLS,OLS,0.2836,103.65,"{""(Intercept)"":2.8961e-16,""Ethno.cultural.Composition"":-0.476,""Economic.Dependency"":-0.4457,""CISV.Scores"":0.3075,""total_area_km2_da"":-0.1038}"
2457005,,canopy_proportion_road,37,SLM,SLM,0.6552,81.92,"{""rho"":0.6283,""(Intercept)"":0.0191,""Ethno.cultural.Composition"":-0.4126,""Economic.Dependency"":-0.4607,""CISV.Scores"":0.3898,""total_area_km2_road"":-0.3271}"
2457040,,canopy_proportion_da,36,OLS,OLS,0.3489,97.7,"{""(Intercept)"":-2.845e-16,""Ethno.cultural.Composition"":-0.2063,""Economic.Dependency"":0.2945,""CISV.Scores"":-0.1342,""total_area_km2_da"":-0.4409}"
2457040,,canopy_proportion_road,36,SEM,SEM,0.4767,95.95,"{""lambda"":0.6715,""(Intercept)"":0.092,""Ethno.cultural.Composition"":0.0326,""Economic.Dependency"":0.38,""CISV.Scores"":-0.3654,""total_area_km2_road"":-0.3253}"
2458007,,canopy_proportion_da,128,SAC,SAC,0.4275,317.87,"{""rho"":0.0899,""lambda"":0.6252,""(Intercept)"":0.1608,""Ethno.cultural.Composition"":-0.1505,""Economic.Dependency"":0.0017,""CISV.Scores"":-0.186,""total_area_km2_da"":0.3012}"
2458007,,canopy_proportion_road,128,SAC,SAC (all significant),0.4961,302.23,"{""rho"":0.6256,""lambda"":-0.2018,""(Intercept)"":0.0564,""Ethno.cultural.Composition"":-0.2302,""Economic.Dependency"":0.1682,""CISV.Scores"":-0.0309,""total_area_km2_road"":-0.2221}"
2458012,,canopy_proportion_da,38,OLS,OLS,0.4207,98.08,"{""(Intercept)"":2.9162e-16,""Ethno.cultural.Composition"":0.3359,""Economic.Dependency"":0.201,""CISV.Scores"":-0.9926,""total_area_km2_da"":-0.4979}"
2458012,,canopy_proportion_road,38,SAC,SAC,0.62,90.88,"{""rho"":0.1975,""lambda"":0.6555,""(Intercept)"":-0.0849,""Ethno.cultural.Composition"":0.0938,""Economic.Dependency"":-0.2213,""CISV.Scores"":-0.5792,""total_area_km2_road"":-0.3462}"
2458033,,canopy_proportion_da,73,OLS,OLS,0.096,210.79,"{""(Intercept)"":1.1955e-16,""Ethno.cultural.Composition"":-0.0252,""Economic.Dependency"":-0.3267,""CISV.Scores"":0.1316,""total_area_km2_da"":-0.1611}"
2458033,,canopy_proportion_road,73,SAC,SAC (all significant),0.4506,188.74,"{""rho"":0.7212,""lambda"":-0.3567,""(Intercept)"":0.0535,""Ethno.cultural.Composition"":-0.115,""Economic.Dependency"":-0.138,""CISV.Scores"":0.1408,""total_area_km2_road"":-0.244}"
2458037,,canopy_proportion_da,50,SAC,SAC,0.3002,142.45,"{""rho"":0.2281,""lambda"":0.533,""(Intercept)"":-0.0448,""Ethno.cultural.Composition"":0.0298,""Economic.Dependency"":0.0041,""CISV.Scores"":-0.1465,""total_area_km2_da"":0.1992}"
2458037,,canopy_proportion_road,50,SAC,SAC (all significant),0.5075,127.34,"{""rho"":0.4664,""lambda"":0.5875,""(Intercept)"":0.0464,""Ethno.cultural.Composition"":0.0085,""Economic.Dependency"":-0.106,""CISV.Scores"":-0.0496,""total_area_km2_road"":-0.0526}"
2458227,,canopy_proportion_da,414,SEM,SEM,0.3214,1053.3,"{""lambda"":0.5605,""(Intercept)"":-0.013,""Ethno.cultural.Composition"":-0.1523,""Economic.Dependency"":0.0212,""CISV.Scores"":-0.1063,""total_area_km2_da"":0.2276}"
2458227,,canopy_proportion_road,414,SLM,SLM,0.4673,973.91,"{""rho"":0.7143,""(Intercept)"":0.0224,""Ethno.cultural.Composition"":-0.0852,""Economic.Dependency"":0.0983,""CISV.Scores"":-0.0447,""total_area_km2_road"":-0.1635}"
2459010,,canopy_proportion_da,56,SAC,SAC (all significant),0.7657,108.22,"{""rho"":0.875,""lambda"":-0.545,""(Intercept)"":0.0273,""Ethno.cultural.Composition"":-0.0351,""Economic.Dependency"":0.3079,""CISV.Scores"":-0.33,""total_area_km2_da"":0.0812}"
2459010,,canopy_proportion_road,56,SLM,SLM,0.7532,105.53,"{""rho"":0.8574,""(Intercept)"":0.0336,""Ethno.cultural.Composition"":0.0024,""Economic.Dependency"":0.2378,""CISV.Scores"":-0.2515,""total_area_km2_road"":-0.0605}"
2460013,,canopy_proportion_da,157,SAC,SAC (all significant),0.5956,360.63,"{""rho"":0.8745,""lambda"":-0.585,""(Intercept)"":0.034,""Ethno.cultural.Composition"":-0.1859,""Economic.Dependency"":0.0548,""CISV.Scores"":-0.1987,""total_area_km2_da"":0.0464}"
2460013,,canopy_proportion_road,157,SAC,SAC (all significant),0.711,299.53,"{""rho"":0.8721,""lambda"":-0.1419,""(Intercept)"":0.0166,""Ethno.cultural.Composition"":-0.141,""Economic.Dependency"":0.0823,""CISV.Scores"":-0.1907,""total_area_km2_road"":-0.134}"
2461025,,canopy_proportion_da,32,OLS,OLS,0.2563,92.32,"{""(Intercept)"":-2.2249e-16,""Ethno.cultural.Composition"":-0.1813,""Economic.Dependency"":-0.3197,""CISV.Scores"":-0.0696,""total_area_km2_da"":0.2598}"
2461025,,canopy_proportion_road,32,OLS,OLS,0.2117,94.18,"{""(Intercept)"":3.8183e-17,""Ethno.cultural.Composition"":0.0458,""Economic.Dependency"":0.2571,""CISV.Scores"":-0.4383,""total_area_km2_road"":-0.3981}"
2464008,,canopy_proportion_da,187,SLM,SLM,0.3315,477.74,"{""rho"":0.4777,""(Intercept)"":-0.0135,""Ethno.cultural.Composition"":-0.2188,""Economic.Dependency"":0.0816,""CISV.Scores"":-0.0739,""total_area_km2_da"":0.2026}"
2464008,,canopy_proportion_road,187,SLM,SLM,0.4182,455.95,"{""rho"":0.5608,""(Intercept)"":0.0253,""Ethno.cultural.Composition"":-0.2112,""Economic.Dependency"":0.259,""CISV.Scores"":-0.1794,""total_area_km2_road"":-0.1582}"
2464015,,canopy_proportion_da,58,SLM,SLM,0.624,130.01,"{""rho"":0.7714,""(Intercept)"":-0.0276,""Ethno.cultural.Composition"":-0.2191,""Economic.Dependency"":-0.0882,""CISV.Scores"":0.0629,""total_area_km2_da"":0.0605}"
2464015,,canopy_proportion_road,58,SLM,SLM,0.4696,147.71,"{""rho"":0.6941,""(Intercept)"":0.0233,""Ethno.cultural.Composition"":-0.1987,""Economic.Dependency"":0.2352,""CISV.Scores"":-0.0892,""total_area_km2_road"":-0.0911}"
2465005,,canopy_proportion_da,636,SLM,SLM,0.2829,1633.03,"{""rho"":0.4682,""(Intercept)"":-0.0265,""Ethno.cultural.Composition"":-0.2341,""Economic.Dependency"":0.066,""CISV.Scores"":0.0886,""total_area_km2_da"":0.1405}"
2465005,,canopy_proportion_road,636,SLM,SLM,0.4315,1524.69,"{""rho"":0.6885,""(Intercept)"":0.0276,""Ethno.cultural.Composition"":-0.1011,""Economic.Dependency"":0.1616,""CISV.Scores"":-0.0821,""total_area_km2_road"":-0.0793}"
2466023,,canopy_proportion_da,2819,SAC,SAC (all significant),0.5067,6473.56,"{""rho"":0.8009,""lambda"":-0.2742,""(Intercept)"":0.0057,""Ethno.cultural.Composition"":-0.0796,""Economic.Dependency"":0.0536,""CISV.Scores"":-0.0906,""total_area_km2_da"":-0.0044}"
2466023,,canopy_proportion_road,2819,SAC,SAC (all significant),0.5427,6269.14,"{""rho"":0.8127,""lambda"":-0.2306,""(Intercept)"":0.024,""Ethno.cultural.Composition"":-0.0634,""Economic.Dependency"":0.0343,""CISV.Scores"":-0.088,""total_area_km2_road"":-0.1017}"
2466032,,canopy_proportion_da,34,SLM,SLM,0.7015,69.75,"{""rho"":0.4322,""(Intercept)"":-0.0037,""Ethno.cultural.Composition"":0.0375,""Economic.Dependency"":-0.0647,""CISV.Scores"":-0.4192,""total_area_km2_da"":0.2188}"
2466032,,canopy_proportion_road,34,OLS,OLS,0.5708,78.72,"{""(Intercept)"":2.1021e-17,""Ethno.cultural.Composition"":0.1717,""Economic.Dependency"":0.1457,""CISV.Scores"":-0.9926,""total_area_km2_road"":-0.1537}"
2466058,,canopy_proportion_da,49,OLS,OLS,0.2229,137.69,"{""(Intercept)"":1.8207e-16,""Ethno.cultural.Composition"":0.5782,""Economic.Dependency"":0.3785,""CISV.Scores"":-0.8048,""total_area_km2_da"":-0.1736}"
2466058,,canopy_proportion_road,49,SLM,SLM,0.3622,131.17,"{""rho"":0.2963,""(Intercept)"":0.0063,""Ethno.cultural.Composition"":0.6902,""Economic.Dependency"":0.5372,""CISV.Scores"":-0.8769,""total_area_km2_road"":0.0638}"
2466072,,canopy_proportion_da,35,OLS,OLS,0.4763,87.67,"{""(Intercept)"":-6.1243e-18,""Ethno.cultural.Composition"":-0.6671,""Economic.Dependency"":-0.2016,""CISV.Scores"":0.301,""total_area_km2_da"":-0.413}"
2466072,,canopy_proportion_road,35,OLS,OLS,0.4991,86.12,"{""(Intercept)"":3.1213e-16,""Ethno.cultural.Composition"":-0.4662,""Economic.Dependency"":-0.1917,""CISV.Scores"":0.0404,""total_area_km2_road"":-0.4394}"
2466087,,canopy_proportion_da,33,OLS,OLS,0.5724,76.6,"{""(Intercept)"":3.9445e-17,""Ethno.cultural.Composition"":-0.3227,""Economic.Dependency"":0.1477,""CISV.Scores"":-0.208,""total_area_km2_da"":-0.6103}"
2466087,,canopy_proportion_road,33,OLS,OLS,0.4774,83.22,"{""(Intercept)"":-1.9175e-16,""Ethno.cultural.Composition"":-0.2542,""Economic.Dependency"":0.0242,""CISV.Scores"":-0.2341,""total_area_km2_road"":-0.5913}"
2466097,,canopy_proportion_da,50,SLM,SLM,0.5181,119.02,"{""rho"":0.2536,""(Intercept)"":-0.0021,""Ethno.cultural.Composition"":-0.1979,""Economic.Dependency"":0.3404,""CISV.Scores"":-0.5111,""total_area_km2_da"":-0.2378}"
2466097,,canopy_proportion_road,50,OLS,OLS,0.4269,125.05,"{""(Intercept)"":1.7697e-16,""Ethno.cultural.Composition"":-0.2822,""Economic.Dependency"":-0.1582,""CISV.Scores"":-0.2388,""total_area_km2_road"":-0.3416}"
2466102,,canopy_proportion_da,34,OLS,OLS,0.5768,78.24,"{""(Intercept)"":7.7601e-17,""Ethno.cultural.Composition"":-0.2918,""Economic.Dependency"":-0.1324,""CISV.Scores"":0.3087,""total_area_km2_da"":-0.7011}"
2466102,,canopy_proportion_road,34,SLM,SLM,0.74,67.55,"{""rho"":0.6244,""(Intercept)"":0.0887,""Ethno.cultural.Composition"":-0.0714,""Economic.Dependency"":-0.137,""CISV.Scores"":0.0751,""total_area_km2_road"":-0.6071}"
2466107,,canopy_proportion_da,37,OLS,OLS,0.3573,99.63,"{""(Intercept)"":2.3171e-16,""Ethno.cultural.Composition"":-0.1897,""Economic.Dependency"":0.237,""CISV.Scores"":-0.2184,""total_area_km2_da"":0.5112}"
2466107,,canopy_proportion_road,37,OLS,OLS,0.4617,93.07,"{""(Intercept)"":-4.9945e-17,""Ethno.cultural.Composition"":-0.054,""Economic.Dependency"":0.3951,""CISV.Scores"":-0.4621,""total_area_km2_road"":-0.4146}"
2466142,,canopy_proportion_da,77,SEM,SEM,0.1999,217.33,"{""lambda"":0.4251,""(Intercept)"":0.0125,""Ethno.cultural.Composition"":0.2593,""Economic.Dependency"":0.168,""CISV.Scores"":-0.2253,""total_area_km2_da"":0.3207}"
2466142,,canopy_proportion_road,77,SAC,SAC,0.2329,215.58,"{""rho"":0.388,""lambda"":0.045,""(Intercept)"":0.0111,""Ethno.cultural.Composition"":0.092,""Economic.Dependency"":0.2916,""CISV.Scores"":-0.2802,""total_area_km2_road"":-0.183}"
2467015,,canopy_proportion_da,33,SLM,SLM,0.4714,88.97,"{""rho"":0.6567,""(Intercept)"":0.0379,""Ethno.cultural.Composition"":-0.008,""Economic.Dependency"":0.0502,""CISV.Scores"":-0.0359,""total_area_km2_da"":0.2693}"
2467015,,canopy_proportion_road,33,OLS,OLS,0.1376,99.75,"{""(Intercept)"":-7.9719e-17,""Ethno.cultural.Composition"":-0.1188,""Economic.Dependency"":0.0853,""CISV.Scores"":-0.3748,""total_area_km2_road"":-0.176}"
2467035,,canopy_proportion_da,43,OLS,OLS,0.1512,125.97,"{""(Intercept)"":4.6554e-17,""Ethno.cultural.Composition"":0.019,""Economic.Dependency"":0.1832,""CISV.Scores"":0.1438,""total_area_km2_da"":-0.2975}"
2467035,,canopy_proportion_road,43,SEM,SEM,0.4606,111.32,"{""lambda"":0.5268,""(Intercept)"":0.0211,""Ethno.cultural.Composition"":-0.1385,""Economic.Dependency"":0.6542,""CISV.Scores"":-0.3273,""total_area_km2_road"":-0.5582}"
2467050,,canopy_proportion_da,78,SAC,SAC (all significant),0.5048,202.91,"{""rho"":0.7712,""lambda"":-0.8582,""(Intercept)"":0.0157,""Ethno.cultural.Composition"":-0.1729,""Economic.Dependency"":-0.4071,""CISV.Scores"":0.2259,""total_area_km2_da"":0.0805}"
2467050,,canopy_proportion_road,78,SAC,SAC,0.3082,214.48,"{""rho"":-0.1445,""lambda"":0.6106,""(Intercept)"":0.0053,""Ethno.cultural.Composition"":-0.0883,""Economic.Dependency"":0.0387,""CISV.Scores"":0.0625,""total_area_km2_road"":-0.2598}"
2472005,,canopy_proportion_da,87,SLM,SLM,0.2729,234.49,"{""rho"":0.3737,""(Intercept)"":-0.0096,""Ethno.cultural.Composition"":-0.2516,""Economic.Dependency"":0.0984,""CISV.Scores"":0.1668,""total_area_km2_da"":0.0817}"
2472005,,canopy_proportion_road,87,SLM,SLM,0.5923,193.46,"{""rho"":0.7435,""(Intercept)"":0.0433,""Ethno.cultural.Composition"":-0.2201,""Economic.Dependency"":0.0498,""CISV.Scores"":-0.0004,""total_area_km2_road"":-0.2052}"
2473005,,canopy_proportion_da,46,OLS,OLS,0.161,133.46,"{""(Intercept)"":-3.4818e-17,""Ethno.cultural.Composition"":-0.0039,""Economic.Dependency"":0.1829,""CISV.Scores"":-0.3544,""total_area_km2_da"":0.2941}"
2473005,,canopy_proportion_road,46,OLS,OLS,0.3676,120.45,"{""(Intercept)"":3.9235e-17,""Ethno.cultural.Composition"":0.0049,""Economic.Dependency"":0.3222,""CISV.Scores"":-0.2149,""total_area_km2_road"":-0.5482}"
2473010,,canopy_proportion_da,45,OLS,OLS,0.5595,101.8,"{""(Intercept)"":-9.7585e-17,""Ethno.cultural.Composition"":-0.2349,""Economic.Dependency"":0.1833,""CISV.Scores"":-0.6441,""total_area_km2_da"":0.0426}"
2473010,,canopy_proportion_road,45,SLM,SLM,0.6993,89.67,"{""rho"":0.5412,""(Intercept)"":0.0193,""Ethno.cultural.Composition"":-0.119,""Economic.Dependency"":0.0898,""CISV.Scores"":-0.3841,""total_area_km2_road"":0.0377}"
2473015,,canopy_proportion_da,67,SLM,SLM,0.4352,168.23,"{""rho"":0.4871,""(Intercept)"":0.0039,""Ethno.cultural.Composition"":-0.0352,""Economic.Dependency"":0.1259,""CISV.Scores"":-0.2022,""total_area_km2_da"":0.3982}"
2473015,,canopy_proportion_road,67,OLS,OLS,0.0977,194.24,"{""(Intercept)"":2.5416e-17,""Ethno.cultural.Composition"":-0.2951,""Economic.Dependency"":0.0779,""CISV.Scores"":0.0123,""total_area_km2_road"":0.1682}"
2475017,,canopy_proportion_da,100,SLM,SLM,0.6486,195.22,"{""rho"":0.3982,""(Intercept)"":0.0003,""Ethno.cultural.Composition"":0.0221,""Economic.Dependency"":0.0727,""CISV.Scores"":-0.176,""total_area_km2_da"":0.5379}"
2475017,,canopy_proportion_road,100,SAC,SAC,0.4629,263.23,"{""rho"":-0.6946,""lambda"":0.8502,""(Intercept)"":0.1737,""Ethno.cultural.Composition"":-0.0064,""Economic.Dependency"":0.2346,""CISV.Scores"":-0.4606,""total_area_km2_road"":0.065}"
2481017,,canopy_proportion_da,426,SLM,SLM,0.3439,1068.46,"{""rho"":0.5534,""(Intercept)"":-0.0597,""Ethno.cultural.Composition"":0.0039,""Economic.Dependency"":0.0293,""CISV.Scores"":-0.0868,""total_area_km2_da"":0.1877}"
2481017,,canopy_proportion_road,426,SLM,SLM,0.4959,977.44,"{""rho"":0.7076,""(Intercept)"":-0.0071,""Ethno.cultural.Composition"":0.0188,""Economic.Dependency"":0.1942,""CISV.Scores"":-0.1382,""total_area_km2_road"":0.1259}"
3501012,,canopy_proportion_da,97,SLM,SLM,0.539,216.36,"{""rho"":0.4123,""(Intercept)"":-0.0256,""Ethno.cultural.Composition"":-0.2002,""Economic.Dependency"":-0.0238,""CISV.Scores"":-0.1144,""total_area_km2_da"":0.4715}"
3501012,,canopy_proportion_road,97,SAC,SAC,0.4199,251.64,"{""rho"":0.7207,""lambda"":-0.3913,""(Intercept)"":0.0602,""Ethno.cultural.Composition"":-0.0213,""Economic.Dependency"":0.2038,""CISV.Scores"":-0.2808,""total_area_km2_road"":-0.283}"
3507015,,canopy_proportion_da,42,OLS,OLS,0.1067,125.44,"{""(Intercept)"":1.1517e-16,""Ethno.cultural.Composition"":0.0363,""Economic.Dependency"":0.035,""CISV.Scores"":-0.2184,""total_area_km2_da"":0.2201}"
3507015,,canopy_proportion_road,42,OLS,OLS,0.1919,121.23,"{""(Intercept)"":6.507e-17,""Ethno.cultural.Composition"":0.2231,""Economic.Dependency"":0.053,""CISV.Scores"":-0.3981,""total_area_km2_road"":-0.2789}"
3514021,,canopy_proportion_da,34,OLS,OLS,0.2812,96.25,"{""(Intercept)"":-2.6303e-17,""Ethno.cultural.Composition"":-0.03,""Economic.Dependency"":0.0701,""CISV.Scores"":-0.4394,""total_area_km2_da"":0.326}"
3514021,,canopy_proportion_road,34,SAC,SAC,0.5468,92.37,"{""rho"":-0.3192,""lambda"":0.8691,""(Intercept)"":0.2064,""Ethno.cultural.Composition"":-0.1772,""Economic.Dependency"":0.406,""CISV.Scores"":-0.6842,""total_area_km2_road"":-0.2119}"
3515014,,canopy_proportion_da,131,SAC,SAC,0.1742,365.89,"{""rho"":0.064,""lambda"":0.4023,""(Intercept)"":-0.0235,""Ethno.cultural.Composition"":-0.0737,""Economic.Dependency"":0.0249,""CISV.Scores"":-0.1688,""total_area_km2_da"":0.0509}"
3515014,,canopy_proportion_road,131,SAC,SAC,0.2488,351.47,"{""rho"":0.2999,""lambda"":0.0142,""(Intercept)"":0.0082,""Ethno.cultural.Composition"":0.0395,""Economic.Dependency"":0.1325,""CISV.Scores"":-0.3895,""total_area_km2_road"":-0.3305}"
3518001,,canopy_proportion_da,139,SLM,SLM,0.1566,387.26,"{""rho"":0.3641,""(Intercept)"":-0.0351,""Ethno.cultural.Composition"":-0.0393,""Economic.Dependency"":-0.0118,""CISV.Scores"":-0.1595,""total_area_km2_da"":0.0387}"
3518001,,canopy_proportion_road,139,SAC,SAC,0.3062,363.75,"{""rho"":0.3769,""lambda"":0.2352,""(Intercept)"":0.0741,""Ethno.cultural.Composition"":-0.1073,""Economic.Dependency"":0.1183,""CISV.Scores"":-0.2645,""total_area_km2_road"":-0.1917}"
3518005,,canopy_proportion_da,171,SAC,SAC,0.3585,435.36,"{""rho"":0.5085,""lambda"":-0.2846,""(Intercept)"":-0.0197,""Ethno.cultural.Composition"":-0.3237,""Economic.Dependency"":0.0524,""CISV.Scores"":-0.0164,""total_area_km2_da"":0.2262}"
3518005,,canopy_proportion_road,171,SLM,SLM,0.4867,400.05,"{""rho"":0.6543,""(Intercept)"":0.093,""Ethno.cultural.Composition"":-0.1699,""Economic.Dependency"":-0.0459,""CISV.Scores"":-0.0563,""total_area_km2_road"":-0.2083}"
3518009,,canopy_proportion_da,197,SLM,SLM,0.231,525.51,"{""rho"":0.3853,""(Intercept)"":-0.0303,""Ethno.cultural.Composition"":-0.1352,""Economic.Dependency"":0.2572,""CISV.Scores"":-0.1533,""total_area_km2_da"":0.0802}"
3518009,,canopy_proportion_road,197,SLM,SLM,0.4274,475.45,"{""rho"":0.5846,""(Intercept)"":0.0491,""Ethno.cultural.Composition"":-0.2017,""Economic.Dependency"":0.1638,""CISV.Scores"":-0.2151,""total_area_km2_road"":-0.1613}"
